,name,account_id,season,rank,assists,damageDealt,days,headshotKills,heals,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,wins
0,PUBG RSOL,account.5d2bd820d26c4744be616f840d41ad8b,xbox-02,99,41,89464.664,24,185,413,838,396.37747,1985.149,203,3,1985.149,502151.44,7,12,245,3,1538.0123,312782.06,114,15,577064.4,1525,42
0,Happywizard725,account.adc9d0a54530494ab23fdb658f094e38,xbox-01,99,97,272470.8,104,595,1599,2461,449.43347,2187.914,1605,9,2187.914,3503648.8,66,13,1678,50,21454.523,1364876.0,392,34,1779218.4,7009,74
0,cgeorgemo70,account.e5d22a2fc9ed4d6b878df1aea25f3719,xbox-02,100,74,102095.1,97,192,958,771,402.64285,2186.174,845,4,2186.174,2178322.5,30,9,872,26,15039.416,1035390.44,281,45,1793589.0,4911,27
0,SchmacK0s AU,account.8edc2afb40a24df39a415b2039462dec,xbox-01,100,170,570729.4,111,1262,2232,5320,581.7135,2050.501,1215,4,2050.501,998304.6,20,21,1337,24,5566.398,1046458.7,280,70,2090793.5,7150,123
0,The GaGOD,account.ae29b9f27a724bee9cd194cb67c996f1,xbox-02,101,295,937600.2,72,2817,2354,9070,483.1692,2042.585,890,16,2042.585,1134235.4,52,34,1156,14,1118.6019,1035496.1,388,126,2509586.5,4480,268
0,xXxVaiperxXx,account.34a0a601f9a544dd9bc61215522a4304,xbox-01,101,144,364473.4,86,1065,4607,3377,329.99652,2079.798,991,12,2079.798,1254427.4,21,14,1060,25,10446.8,1066131.0,298,45,1889411.0,7021,69
0,zapherf,account.049575f121cb448084e3b89578f541e7,xbox-02,102,73,148844.06,53,300,1126,1338,232.2101,1954.86,547,2,1954.86,183952.25,6,11,597,8,7015.526,549751.2,202,3,686751.4,2154,50
0,KTA REJX,account.35fdf7a9804d4da9a162780c6acfb774,xbox-01,102,160,186501.9,115,248,2404,1437,330.0575,2193.224,1526,6,2193.224,2323877.0,76,8,1559,55,20541.46,1525257.1,314,37,2339082.8,9100,33
0,Kid2112Gloves,account.dfe19e31d0b04069864f43a79a282253,xbox-02,103,6,18640.092,13,35,136,158,463.73434,2185.252,231,1,2185.252,103835.92,5,6,234,1,4252.2505,194638.38,28,12,386270.06,723,3
0,MadMattMurdock1,account.c37a423e81d147d68bc85ed3687e2a4d,xbox-01,103,181,267002.34,111,374,3234,2105,462.45636,2003.005,2141,5,2003.005,2820642.5,50,11,2154,104,13461.324,1927112.4,304,88,2635864.2,12627,13
0,Saboooteador,account.1a573b28b49d47239057d4ded191a6a5,xbox-01,104,138,171584.14,111,327,1985,1339,360.10684,1996.647,1967,7,1996.647,4796969.0,158,9,1983,93,18624.025,1887236.4,347,61,2483305.2,6816,16
0,G0dFaThErGHOST,account.9b3c3e347d0b4d71bd146fd6bb219df3,xbox-02,104,107,190356.61,78,295,893,1668,374.56317,2008.878,725,6,2008.878,1001948.1,100,13,757,18,4972.075,765563.44,237,47,989667.5,3174,32
0,Im Jory,account.59502d10e43f4afabd784c5723a49f8f,xbox-01,105,246,488004.44,93,1131,5045,4402,406.7682,1997.657,1718,9,1997.657,1219481.1,45,17,1786,33,10680.977,1240737.2,237,66,2076154.8,9838,69
0,Ice23000,account.b3d04510580849bfb9cb7cd8cb6c2f0e,xbox-02,105,91,143751.45,81,361,923,1302,395.25616,2195.595,336,5,2195.595,350447.78,5,14,404,3,3841.1277,462479.22,183,39,876443.5,2259,68
0,SHAKENBAKE TTV,account.8f95594ddf684411b218bc0a9a861390,xbox-02,106,102,250803.61,108,448,1071,2114,306.38388,1958.905,1029,3,1958.905,182541.95,3,15,1066,7,4255.994,817743.4,186,10,1737762.0,4529,38
0,RYKERDAUTRE2015,account.8029f3d640c34df99da9ff6a4849df4e,xbox-01,106,77,60190.95,68,101,980,466,327.4572,2191.55,828,2,2191.55,610264.25,4,5,853,18,9851.578,1146262.0,326,3,2226648.8,2970,25
0,MLO 007,account.85c8504f7029470b958623f4cd96c2f4,xbox-01,107,129,305240.06,104,725,1301,2700,416.76675,2185.962,992,4,2185.962,505963.34,10,12,1075,13,8442.824,1080771.1,296,12,1737127.2,5964,83
0,ISHKALAD,account.7abd9b1d6906421e94cdc438ae1a1574,xbox-02,107,108,177338.17,69,446,1028,1523,451.21802,2199.304,536,3,2199.304,1251095.8,15,11,605,8,11649.164,771045.7,258,17,1225261.4,4038,69
0,Phalizideee,account.274d9aaec4f24bb8b1e294ef6fe6a1de,xbox-01,108,435,812691.6,112,1798,4407,7277,468.63184,2091.335,2129,18,2091.335,1756496.9,69,24,2257,38,7733.2983,1412202.0,330,116,2213283.2,9271,129
0,HYDROSCOTTY413,account.903e9d46c1ab46e98e0a83aea5c37e0f,xbox-02,108,153,164493.67,100,337,1981,1160,428.40155,2178.139,1486,2,2178.139,1593704.2,15,7,1507,13,11469.692,1592019.0,330,13,2350036.5,7660,21
0,Franken Winni55,account.edb4933dfe9340b6bf4aad72ed827c23,xbox-01,109,73,67483.57,79,134,680,528,221.74289,2007.694,1186,2,2007.694,404248.9,2,4,1205,4,5403.3613,1573893.1,578,3,2557183.0,7496,19
0,Mr N 000 D L E,account.9255c0a58c54479e8d1a3b67f240d62b,xbox-02,109,260,545701.44,100,1197,2400,4862,486.3599,2021.511,1434,4,2021.511,567226.3,24,20,1495,20,1115.9795,864601.9,187,31,1426122.9,6600,61
0,MachoHickory197,account.560df5581a3b4cacab175c8105b4eb06,xbox-01,110,190,269727.47,98,486,1821,2301,427.5852,2186.41,857,3,2186.41,2542891.8,65,16,979,28,6476.605,1121287.8,378,46,1586657.5,6230,122
0,xBr3nD4Nx,account.69f1ccff78814b09b6b3202c17ed1994,xbox-02,110,118,144555.34,108,251,3178,1131,470.70966,2202.097,726,9,2202.097,1887712.0,49,12,783,18,10807.637,931800.1,355,73,1130747.6,4214,59
0,MachoHickory197,account.560df5581a3b4cacab175c8105b4eb06,xbox-02,111,190,269727.47,98,486,1821,2301,427.5852,2186.41,857,3,2186.41,2542891.8,65,16,979,28,6476.605,1121287.8,378,46,1586657.5,6230,122
0,LEANDRO GINGADO,account.82fdf05e6d6d4ef09e1cc4851886a716,xbox-01,111,188,371169.0,112,629,1871,3295,370.5685,2188.337,1187,3,2188.337,1182284.4,21,13,1266,21,5518.0903,1076410.9,327,26,1612649.6,5621,80
0,Stone Men x m39,account.a7cd34c977bd4948bd380244390f3e1c,xbox-01,112,96,148045.42,77,227,1095,1167,368.69443,2048.709,914,3,2048.709,1105689.6,28,8,938,21,5455.686,1007198.7,215,42,1888968.8,4231,24
0,Legion x5,account.387822f05b9142f6ac60467c5b0949b4,xbox-02,112,156,433085.16,82,891,1919,4252,372.02274,1988.707,846,3,1988.707,821329.44,10,18,976,13,3299.1445,780714.25,266,22,1395721.8,5239,130
0,Osmodiar,account.9c105ba477754d4ab3d3b236ad72bf87,xbox-01,113,120,177143.7,108,247,3132,1415,257.49606,2024.785,1455,2,2024.785,495598.4,18,8,1476,36,10812.717,1412446.5,261,8,2604136.2,6578,21
0,old dog re,account.e39d9ad82e414f64984f6bb91524d2d6,xbox-02,113,168,202031.2,112,274,1316,1631,196.25711,1967.89,2361,7,1967.89,4745078.5,171,8,2361,92,21053.307,1819244.2,136,48,2796108.5,8903,0
0,BUBBA KUSH4420,account.a591df6e3f0e48999ccd0188cc2aa86c,xbox-01,114,312,372697.47,83,1148,3453,3319,264.5908,2190.027,1497,10,2190.027,2157770.5,205,14,1560,19,17542.475,1444652.1,368,17,2245574.8,8331,63
0,SultanOSwat,account.b3dc7c2ca4c7429fa702ce45dea00832,xbox-02,114,104,166352.02,115,240,1775,1310,293.55603,2185.402,1365,7,2185.402,1092140.1,27,12,1386,32,16432.354,1241644.2,222,57,1793755.0,7235,21
0,KROMWELL77,account.f133db0c071b4d11b2fe5533ece6665c,xbox-02,115,114,150552.47,117,265,4166,1139,367.41434,2055.082,1243,5,2055.082,1944502.1,48,10,1282,26,7149.1865,1518247.1,442,10,2449069.0,7297,39
0,GORRGANITE,account.109dbbbdea1840298712bde1ef649fba,xbox-01,115,41,89790.19,66,143,4631,711,519.4086,1986.102,1050,4,1986.102,678286.56,4,7,1062,43,7388.134,1204518.0,230,39,1688699.9,4905,12
0,The Gingivitis,account.6c2170c90c5546199afc4f5246b8ec88,xbox-01,116,119,174693.33,88,327,2105,1395,472.68802,2192.656,919,3,2192.656,3788331.5,41,11,994,32,13762.072,1273794.6,376,77,2028578.1,6827,75
0,MAJ Sniper 007,account.69df67791e05479484845acffadf4339,xbox-02,116,59,116882.13,78,197,728,906,240.34149,1976.282,889,3,1976.282,535438.1,8,7,894,19,3518.6992,690719.56,104,26,869932.2,3415,5
0,SonsyMeteor8355,account.d84ca1332554430b8410071445e02963,xbox-01,117,85,151346.28,118,261,2599,1185,235.44478,2010.874,1974,4,2010.874,2164867.5,34,6,1987,67,16461.777,1807875.0,274,25,1947992.4,8494,13
0,StuMagooo,account.e7d249a13ccb4b859c5e752534afaf53,xbox-02,117,124,277578.12,72,614,1082,2388,414.64142,2189.349,840,4,2189.349,644505.9,10,16,886,9,2734.4631,613072.2,132,33,970645.8,3441,46
0,uberbend,account.13a6e34307104dfcaadff528e6c38f84,xbox-02,118,191,435473.94,89,886,1517,4038,437.14493,2193.397,647,4,2193.397,1598240.5,43,15,882,17,11726.888,1111181.5,455,64,1982707.0,4385,235
0,oooooJOBUooooo,account.0883775f54d044f1937dd3706f2930ef,xbox-01,118,161,207143.14,112,384,1372,1577,310.63947,2026.902,932,3,2026.902,1001258.6,16,10,976,12,14387.84,1122607.5,342,77,1973338.0,5473,45
0,xVICKxVINEGARx,account.eaef84d5c8864ad7a892b1686f94b3c3,xbox-02,119,95,191249.28,106,380,1080,1620,320.28955,1988.186,682,3,1988.186,270922.44,5,14,711,7,2882.6562,697665.3,182,12,1109340.9,3682,29
0,Kamikazee BOBBY,account.7f9ff30afc7c4c3abd7d2baa05c69177,xbox-01,119,123,157251.84,85,265,2472,1226,375.62665,2049.828,1116,9,2049.828,1528875.1,33,13,1136,33,12407.344,1008254.25,225,153,1319902.1,5593,20
0,TwoDumbThumbs,account.0ced5715703f4bbd8a6b77c3e2ef77b9,xbox-02,120,86,154908.61,114,262,1069,1311,304.92853,2185.783,1307,5,2185.783,2427404.0,144,10,1308,68,9247.698,776741.3,34,42,855252.8,6724,1
0,papsroach2,account.caf7383b635d42a1a13cfe6179fec67c,xbox-01,120,84,88815.87,78,161,5440,776,259.99316,1964.778,1256,2,1964.778,387787.75,3,6,1274,32,5009.6475,1395819.9,205,4,2649484.5,9720,18
0,SlateRain562611,account.136a57d6f8a6420a8923111059a26d7f,xbox-02,121,229,371919.56,113,638,2276,2887,365.84714,2189.921,2764,10,2189.921,1052680.6,9,11,2778,29,10139.533,1925842.4,282,6,3236598.8,8929,14
0,Realcris pipi,account.1f364be7d9e7478da89a3265206c2932,xbox-01,121,153,216116.7,98,405,2497,1830,357.46802,2130.873,1820,3,2130.873,238214.28,7,7,1828,19,11995.429,1599955.6,322,21,3489250.5,6598,8
